,Fault Code,Device #,Wire #,"Custom
Text",Fault Text,Extended Description,PLC Tag,HMI Display,HMI,,,"Fault Tested
Initials & Date"
,F014,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.13",,Calibration.Input.Off_Flt.13,"F014   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.13",Calibration.Input.Off_Flt,14,,
,F015,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.14",,Calibration.Input.Off_Flt.14,"F015   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.14",Calibration.Input.Off_Flt,15,,
,F016,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.15",,Calibration.Input.Off_Flt.15,"F016   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.15",Calibration.Input.Off_Flt,16,,
,F017,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.16",,Calibration.Input.Off_Flt.16,"F017   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.16",Calibration.Input.Off_Flt,17,,
,F018,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.17",,Calibration.Input.Off_Flt.17,"F018   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.17",Calibration.Input.Off_Flt,18,,
,F019,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.18",,Calibration.Input.Off_Flt.18,"F019   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.18",Calibration.Input.Off_Flt,19,,
,F020,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.19",,Calibration.Input.Off_Flt.19,"F020   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.19",Calibration.Input.Off_Flt,20,,
,F021,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.20",,Calibration.Input.Off_Flt.20,"F021   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.20",Calibration.Input.Off_Flt,21,,
,F022,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.21",,Calibration.Input.Off_Flt.21,"F022   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.21",Calibration.Input.Off_Flt,22,,
,F023,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.22",,Calibration.Input.Off_Flt.22,"F023   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.22",Calibration.Input.Off_Flt,23,,
,F024,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.23",,Calibration.Input.Off_Flt.23,"F024   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.23",Calibration.Input.Off_Flt,24,,
,F025,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.24",,Calibration.Input.Off_Flt.24,"F025   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.24",Calibration.Input.Off_Flt,25,,
,F026,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.25",,Calibration.Input.Off_Flt.25,"F026   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.25",Calibration.Input.Off_Flt,26,,
,F027,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.26",,Calibration.Input.Off_Flt.26,"F027   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.26",Calibration.Input.Off_Flt,27,,
,F028,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.27",,Calibration.Input.Off_Flt.27,"F028   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.27",Calibration.Input.Off_Flt,28,,
,F029,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.28",,Calibration.Input.Off_Flt.28,"F029   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.28",Calibration.Input.Off_Flt,29,,
,F030,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.29",,Calibration.Input.Off_Flt.29,"F030   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.29",Calibration.Input.Off_Flt,30,,
,F031,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.30",,Calibration.Input.Off_Flt.30,"F031   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.30",Calibration.Input.Off_Flt,31,,
,F032,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.31",,Calibration.Input.Off_Flt.31,"F032   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.31",Calibration.Input.Off_Flt,32,,
,F033,H14-1,8337,,"Calibration Arm 1 Should Be Lowered.
Check Cylinder Sensor and 
Check Product Guides Are Lowered.","Cylinder sensor is reporting that the cylinder is in a position that it should not be in. Check that the cylinder has moved off/away from the sensor. If so, check the sensor for damage and replace as needed.",Calibration.Input.On_Flt.0,"F033   Calibration Arm 1 Should Be Lowered.
Check Cylinder Sensor and 
Check Product Guides Are Lowered.
Device H14-1     Wire # 8337",Calibration.Input.On_Flt,1,,
,F034,H14-2,8347,,"Calibration Arm 1
Should Be Raised","Cylinder sensor is reporting that the cylinder is in a position that it should not be in. Check that the cylinder has moved off/away from the sensor. If so, check the sensor for damage and replace as needed.",Calibration.Input.On_Flt.1,"F034   Calibration Arm 1
Should Be Raised
Device H14-2     Wire # 8347",Calibration.Input.On_Flt,2,,
,F035,H14-5,8377,,"Calibration Arm 2 Should Be Lowered.
Check Cylinder Sensor and 
Check Product Guides Are Lowered.","Cylinder sensor is reporting that the cylinder is in a position that it should not be in. Check that the cylinder has moved off/away from the sensor. If so, check the sensor for damage and replace as needed.",Calibration.Input.On_Flt.2,"F035   Calibration Arm 2 Should Be Lowered.
Check Cylinder Sensor and 
Check Product Guides Are Lowered.
Device H14-5     Wire # 8377",Calibration.Input.On_Flt,3,,
,F036,H14-6,8387,,"Calibration Arm 2
Should Be Raised","Cylinder sensor is reporting that the cylinder is in a position that it should not be in. Check that the cylinder has moved off/away from the sensor. If so, check the sensor for damage and replace as needed.",Calibration.Input.On_Flt.3,"F036   Calibration Arm 2
Should Be Raised
Device H14-6     Wire # 8387",Calibration.Input.On_Flt,4,,
,F037,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.4",,Calibration.Input.On_Flt.4,"F037   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.4",Calibration.Input.On_Flt,5,,
,F038,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.5",,Calibration.Input.On_Flt.5,"F038   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.5",Calibration.Input.On_Flt,6,,
,F039,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.6",,Calibration.Input.On_Flt.6,"F039   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.6",Calibration.Input.On_Flt,7,,
,F040,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.7",,Calibration.Input.On_Flt.7,"F040   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.7",Calibration.Input.On_Flt,8,,
,F041,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.8",,Calibration.Input.On_Flt.8,"F041   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.8",Calibration.Input.On_Flt,9,,
,F042,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.9",,Calibration.Input.On_Flt.9,"F042   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.9",Calibration.Input.On_Flt,10,,
,F043,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.10",,Calibration.Input.On_Flt.10,"F043   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.10",Calibration.Input.On_Flt,11,,
,F044,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.11",,Calibration.Input.On_Flt.11,"F044   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.11",Calibration.Input.On_Flt,12,,
,F045,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.12",,Calibration.Input.On_Flt.12,"F045   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.12",Calibration.Input.On_Flt,13,,
,F046,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.13",,Calibration.Input.On_Flt.13,"F046   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.13",Calibration.Input.On_Flt,14,,
,F047,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.14",,Calibration.Input.On_Flt.14,"F047   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.14",Calibration.Input.On_Flt,15,,
,F048,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.15",,Calibration.Input.On_Flt.15,"F048   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.15",Calibration.Input.On_Flt,16,,
,F049,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.16",,Calibration.Input.On_Flt.16,"F049   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.16",Calibration.Input.On_Flt,17,,
,F050,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.17",,Calibration.Input.On_Flt.17,"F050   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.17",Calibration.Input.On_Flt,18,,
,F051,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.18",,Calibration.Input.On_Flt.18,"F051   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.18",Calibration.Input.On_Flt,19,,
,F052,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.19",,Calibration.Input.On_Flt.19,"F052   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.19",Calibration.Input.On_Flt,20,,
,F053,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.20",,Calibration.Input.On_Flt.20,"F053   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.20",Calibration.Input.On_Flt,21,,
,F054,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.21",,Calibration.Input.On_Flt.21,"F054   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.21",Calibration.Input.On_Flt,22,,
,F055,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.22",,Calibration.Input.On_Flt.22,"F055   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.22",Calibration.Input.On_Flt,23,,
,F056,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.23",,Calibration.Input.On_Flt.23,"F056   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.23",Calibration.Input.On_Flt,24,,
,F057,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.24",,Calibration.Input.On_Flt.24,"F057   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.24",Calibration.Input.On_Flt,25,,
,F058,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.25",,Calibration.Input.On_Flt.25,"F058   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.25",Calibration.Input.On_Flt,26,,
,F059,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.26",,Calibration.Input.On_Flt.26,"F059   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.26",Calibration.Input.On_Flt,27,,
,F060,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.27",,Calibration.Input.On_Flt.27,"F060   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.27",Calibration.Input.On_Flt,28,,
,F061,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.28",,Calibration.Input.On_Flt.28,"F061   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.28",Calibration.Input.On_Flt,29,,
,F062,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.29",,Calibration.Input.On_Flt.29,"F062   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.29",Calibration.Input.On_Flt,30,,
,F063,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.30",,Calibration.Input.On_Flt.30,"F063   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.30",Calibration.Input.On_Flt,31,,
,F064,,,,"Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.31",,Calibration.Input.On_Flt.31,"F064   Spare Fault Message
PLC Tag: Calibration.Input.On_Flt.31",Calibration.Input.On_Flt,32,,
"Imaging

(Computers)",,,,,,,,,,,,
,F065,U1,,IP Address: 10.0.1.18,"Control Computer
Communication Error - No Heartbeat",The heartbeat between the PLC and the control computer has not changed within a specified amount of time.,Imaging.Input.Off_Flt.0,"F065   Control Computer
Communication Error - No Heartbeat
Device U1     IP Address: 10.0.1.18",Imaging.Input.Off_Flt,1,,
,F066,U1,,IP Address: 10.0.1.18,"Control Computer
Failed To Start Task",The Control Computer has not acknowledged the PLC's task request within a specified amount of time. Check if the Control Computer is operating properly,Imaging.Input.Off_Flt.1,"F066   Control Computer
Failed To Start Task
Device U1     IP Address: 10.0.1.18",Imaging.Input.Off_Flt,2,,
,F067,U1,,IP Address: 10.0.1.18,"Control Computer
Task Timed Out",The Control Computer has not completed its task within a specified amount of time.,Imaging.Input.Off_Flt.2,"F067   Control Computer
Task Timed Out
Device U1     IP Address: 10.0.1.18",Imaging.Input.Off_Flt,3,,
,F068,U1,,IP Address: 10.0.1.18,"Control Computer
Task Aborted",The PLC has aborted the Control Computer Task,Imaging.Input.Off_Flt.3,"F068   Control Computer
Task Aborted
Device U1     IP Address: 10.0.1.18",Imaging.Input.Off_Flt,4,,
,F069,U1,,IP Address: 10.0.1.18,"Control Computer
Task Error
Error Code: /*N:10 {[PLC]C_TASK} NOFILL DP:0*/",The Control Computer reported and error when attempting to execute a task.,Imaging.Input.Off_Flt.4,"F069   Control Computer
Task Error
Error Code: /*N:10 {[PLC]C_TASK} NOFILL DP:0*/
Device U1     IP Address: 10.0.1.18",Imaging.Input.Off_Flt,5,,
,F070,U2-1,,IP Address: 10.0.1.19,"DM 1 (Top)
Classification Timestamp Not Updating","DM 1 classification software has not sent the PLC a timestamp/heartbeat within a specified amount of time. Check Spec 1 and Vis 1 computers are running the classification software and that it's PLC tracking time is synchronized with the PLC.
Restarting the computers may solve the issue.",Imaging.Input.Off_Flt.5,"F070   DM 1 (Top)
Classification Timestamp Not Updating
Device U2-1     IP Address: 10.0.1.19",Imaging.Input.Off_Flt,6,,
,F071,U2-1,,IP Address: 10.0.1.19,"DM 1 (Top)
Classification Timestamp Offset Error","DM 1 classification timestamp is out of range by more than a specified amount. Execute a calibration to re-synchronize the computer's clock with the PLC and Control Computer. If the issue persists, contact the PPO service team.",Imaging.Input.Off_Flt.6,"F071   DM 1 (Top)
Classification Timestamp Offset Error
Device U2-1     IP Address: 10.0.1.19",Imaging.Input.Off_Flt,7,,
,F072,U2-1,,IP Address: 10.0.1.19,"Spec 1 (Top)
Too Many Consecutive Reject Message Errors",Spec 1 Computer has sent several invalid reject messages to the PLC. Contact the PPO Service team for assistance.,Imaging.Input.Off_Flt.7,"F072   Spec 1 (Top)
Too Many Consecutive Reject Message Errors
Device U2-1     IP Address: 10.0.1.19",Imaging.Input.Off_Flt,8,,
,F073,U2-1,,IP Address: 10.0.1.19,"Spec 1 (Top)
Calibration Failure
Error Code: /*N:10 {[PLC]C_FAULT_SPEC_1} NOFILL DP:0*/","Spec 1 Computer has detected one of the following errors during calibration. The system has attempted to calibrate multiple times and the issue persists.
Reason codes (bitwise):
Bit 0 - Brightness level too low. This may indicate the lamps need to be changed.
Bit 1 - Bright/Dark levels are too close to each other. This may indicate the shutter is failing.
Bit 2 - Too many dark underflowing lines during the darkness calibration.
Bit 3 - Dark level is higher than the bright level. This may indicate that the shutter position has been swapped.",Imaging.Input.Off_Flt.8,"F073   Spec 1 (Top)
Calibration Failure
Error Code: /*N:10 {[PLC]C_FAULT_SPEC_1} NOFILL DP:0*/
Device U2-1     IP Address: 10.0.1.19",Imaging.Input.Off_Flt,9,,
,F074,U2-1,,IP Address: 10.0.1.19,"Spec 1 Computer
NTP Time Synchronization Error","Spec 1 Computer's NTP clock is not synchronized with the NTP clock on the Control Computer. Perform a calibration.
This issue has been detected by the Spec 1 Computer.
If the issue persists after a calibration:
-Shutdown and restart all computers
-Contact PPO's team for assistance.",Imaging.Input.Off_Flt.9,"F074   Spec 1 Computer
NTP Time Synchronization Error
Device U2-1     IP Address: 10.0.1.19",Imaging.Input.Off_Flt,10,,
,F075,U2-1,,IP Address: 10.0.1.19,"Vis 1 Computer
NTP Time Synchronization Error","Vis 1 Computer's NTP clock is not synchronized with the NTP clock on the Control Computer. Perform a calibration.
This issue has been detected by the Vis 1 Computer.
If the issue persists after a calibration:
-Shutdown and restart all computers
-Contact PPO's team for assistance.",Imaging.Input.Off_Flt.10,"F075   Vis 1 Computer
NTP Time Synchronization Error
Device U2-1     IP Address: 10.0.1.19",Imaging.Input.Off_Flt,11,,
,F076,U2-2,,IP Address: 10.0.1.21,"DM 2 (Middle)
Classification Timestamp Not Updating","DM 2 classification software has not sent the PLC a timestamp/heartbeat within a specified amount of time. Check Spec 2 and Vis 2 computers are running the classification software and that it's PLC tracking time is synchronized with the PLC.
Restarting the computers may solve the issue.",Imaging.Input.Off_Flt.11,"F076   DM 2 (Middle)
Classification Timestamp Not Updating
Device U2-2     IP Address: 10.0.1.21",Imaging.Input.Off_Flt,12,,
,F077,U2-2,,IP Address: 10.0.1.21,"DM 2 (Middle)
Classification Timestamp Offset Error","DM 1 classification timestamp is out of range by more than a specified amount. Execute a calibration to re-synchronize the computer's clock with the PLC and Control Computer. If the issue persists, contact the PPO service team.",Imaging.Input.Off_Flt.12,"F077   DM 2 (Middle)
Classification Timestamp Offset Error
Device U2-2     IP Address: 10.0.1.21",Imaging.Input.Off_Flt,13,,
,F078,U2-2,,IP Address: 10.0.1.21,"Spec 2 (Middle)
Too Many Consecutive Reject Message Errors",Spec 2 Computer has sent several invalid reject messages to the PLC. Contact the PPO Service team for assistance.,Imaging.Input.Off_Flt.13,"F078   Spec 2 (Middle)
Too Many Consecutive Reject Message Errors
Device U2-2     IP Address: 10.0.1.21",Imaging.Input.Off_Flt,14,,
,F079,U2-2,,IP Address: 10.0.1.21,"Spec 2 (Middle)
Calibration Failure
Error Code: /*N:10 {[PLC]C_FAULT_SPEC_2} NOFILL DP:0*/","Spec 2 Computer has detected one of the following errors during calibration. The system has attempted to calibrate multiple times and the issue persists.
Reason codes (bitwise):
Bit 0 - Brightness level too low. This may indicate the lamps need to be changed.
Bit 1 - Bright/Dark levels are too close to each other. This may indicate the shutter is failing.
Bit 2 - Too many dark underflowing lines during the darkness calibration.
Bit 3 - Dark level is higher than the bright level. This may indicate that the shutter position has been swapped.",Imaging.Input.Off_Flt.14,"F079   Spec 2 (Middle)
Calibration Failure
Error Code: /*N:10 {[PLC]C_FAULT_SPEC_2} NOFILL DP:0*/
Device U2-2     IP Address: 10.0.1.21",Imaging.Input.Off_Flt,15,,
,F080,U2-2,,IP Address: 10.0.1.21,"Spec 2 Computer
NTP Time Synchronization Error","Spec 2 Computer's NTP clock is not synchronized with the NTP clock on the Control Computer. Perform a calibration.
This issue has been detected by the Spec 2 Computer.
If the issue persists after a calibration:
-Shutdown and restart all computers
-Contact PPO's team for assistance.",Imaging.Input.Off_Flt.15,"F080   Spec 2 Computer
NTP Time Synchronization Error
Device U2-2     IP Address: 10.0.1.21",Imaging.Input.Off_Flt,16,,
,F081,U2-2,,IP Address: 10.0.1.21,"Vis 2 Computer
NTP Time Synchronization Error","Vis 2 Computer's NTP clock is not synchronized with the NTP clock on the Computer Computer. Perform a calibration.
This issue has been detected by the Vis 2 Computer.
If the issue persists after a calibration:
-Shutdown and restart all computers
-Contact PPO's team for assistance.",Imaging.Input.Off_Flt.16,"F081   Vis 2 Computer
NTP Time Synchronization Error
Device U2-2     IP Address: 10.0.1.21",Imaging.Input.Off_Flt,17,,
,F082,U2-1,,IP Address: 10.0.1.19,"DM1 Calibration Failed.
Window or Calibration Target Not Clean","DM1 calibration has failed.
Clean the DM1 window and calibration target.
After cleaning, perform calibration again.
If issue persists, contact PPO's team for assistance.",Imaging.Input.Off_Flt.17,"F082   DM1 Calibration Failed.
Window or Calibration Target Not Clean
Device U2-1     IP Address: 10.0.1.19",Imaging.Input.Off_Flt,18,,
,F083,U2-2,,IP Address: 10.0.1.21,"DM2 Calibration Failed.
Window or Calibration Target Not Clean","DM2 calibration has failed.
Clean the DM2 window and calibration target.
After cleaning, perform calibration again.
If issue persists, contact PPO's team for assistance.",Imaging.Input.Off_Flt.18,"F083   DM2 Calibration Failed.
Window or Calibration Target Not Clean
Device U2-2     IP Address: 10.0.1.21",Imaging.Input.Off_Flt,19,,
,F084,,,,"Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.19",,Imaging.Input.Off_Flt.19,"F084   Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.19",Imaging.Input.Off_Flt,20,,
,F085,,,,"Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.20",,Imaging.Input.Off_Flt.20,"F085   Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.20",Imaging.Input.Off_Flt,21,,
,F086,,,,"Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.21",,Imaging.Input.Off_Flt.21,"F086   Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.21",Imaging.Input.Off_Flt,22,,
,F087,,,,"Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.22",,Imaging.Input.Off_Flt.22,"F087   Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.22",Imaging.Input.Off_Flt,23,,
,F088,,,,"Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.23",,Imaging.Input.Off_Flt.23,"F088   Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.23",Imaging.Input.Off_Flt,24,,
,F089,,,,"Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.24",,Imaging.Input.Off_Flt.24,"F089   Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.24",Imaging.Input.Off_Flt,25,,
,F090,,,,"Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.25",,Imaging.Input.Off_Flt.25,"F090   Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.25",Imaging.Input.Off_Flt,26,,
,F091,,,,"Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.26",,Imaging.Input.Off_Flt.26,"F091   Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.26",Imaging.Input.Off_Flt,27,,
,F092,,,,"Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.27",,Imaging.Input.Off_Flt.27,"F092   Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.27",Imaging.Input.Off_Flt,28,,
,F093,,,,"Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.28",,Imaging.Input.Off_Flt.28,"F093   Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.28",Imaging.Input.Off_Flt,29,,
,F094,,,,"Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.29",,Imaging.Input.Off_Flt.29,"F094   Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.29",Imaging.Input.Off_Flt,30,,
,F095,,,,"Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.30",,Imaging.Input.Off_Flt.30,"F095   Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.30",Imaging.Input.Off_Flt,31,,
,F096,,,,"Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.31",,Imaging.Input.Off_Flt.31,"F096   Spare Fault Message
PLC Tag: Imaging.Input.Off_Flt.31",Imaging.Input.Off_Flt,32,,
